# Simulation 1 (Up to date)
# 877 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (m),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
146.523,0.436,34.253
145.936,0.436,34.253
145.35,0.436,34.253
144.764,0.436,34.253
144.18,0.436,34.253
143.595,0.436,34.253
143.011,0.436,34.253
142.428,0.436,34.253
141.846,0.436,34.253
141.265,0.436,34.253
140.685,0.436,34.253
140.106,0.436,34.253
139.527,0.436,34.253
138.95,0.436,34.253
138.372,0.436,34.253
137.795,0.436,34.253
137.217,0.436,34.253
136.639,0.436,34.253
136.061,0.436,34.253
135.481,0.436,34.253
134.901,0.436,34.253
134.321,0.436,34.253
133.74,0.436,34.253
133.16,0.436,34.253
132.579,0.436,34.253
131.998,0.436,34.253
131.417,0.436,34.253
130.837,0.436,34.253
130.256,0.436,34.253
129.675,0.436,34.253
129.093,0.436,34.253
128.51,0.436,34.253
127.927,0.436,34.253
127.344,0.436,34.253
126.759,0.436,34.253
126.174,0.436,34.253
125.588,0.436,34.253
125.002,0.436,34.253
124.415,0.436,34.253
123.828,0.436,34.253
123.241,0.436,34.253
122.653,0.436,34.253
122.065,0.436,34.253
121.476,0.436,34.253
120.887,0.436,34.253
120.297,0.436,34.253
119.706,0.436,34.253
119.114,0.436,34.253
118.52,0.436,34.253
117.926,0.436,34.253
117.331,0.436,34.253
116.736,0.436,34.253
116.14,0.436,34.253
115.544,0.436,34.253
114.947,0.436,34.253
114.351,0.436,34.253
113.753,0.436,34.253
113.155,0.436,34.253
112.556,0.436,34.253
111.955,0.436,34.253
111.353,0.436,34.253
110.749,0.436,34.253
110.144,0.436,34.253
109.537,0.436,34.253
108.929,0.436,34.253
108.319,0.436,34.253
107.709,0.436,34.253
107.098,0.436,34.253
106.486,0.436,34.253
105.874,0.436,34.253
105.261,0.436,34.253
104.647,0.436,34.253
104.033,0.436,34.253
103.417,0.436,34.253
102.801,0.436,34.253
102.184,0.436,34.253
101.567,0.436,34.253
100.948,0.436,34.253
100.33,0.436,34.253
99.711,0.436,34.253
99.092,0.436,34.253
98.474,0.436,34.253
97.855,0.436,34.253
97.236,0.436,34.253
96.616,0.436,34.253
95.996,0.436,34.253
95.374,0.436,34.253
94.751,0.436,34.253
94.127,0.436,34.253
93.501,0.436,34.253
92.875,0.436,34.253
92.248,0.436,34.253
91.621,0.436,34.253
90.994,0.436,34.253
90.366,0.436,34.253
89.739,0.436,34.253
89.112,0.436,34.253
88.484,0.436,34.253
87.856,0.436,34.253
87.227,0.436,34.253
86.596,0.436,34.253
85.965,0.436,34.253
85.333,0.436,34.253
84.701,0.436,34.253
84.068,0.436,34.253
83.434,0.436,34.253
82.801,0.436,34.253
82.166,0.436,34.253
81.532,0.436,34.253
80.896,0.436,34.253
80.259,0.436,34.253
79.62,0.436,34.253
78.979,0.436,34.253
78.38,0.436,34.253
77.736,0.436,34.253
77.092,0.436,34.253
76.446,0.436,34.253
75.8,0.436,34.253
75.154,0.436,34.253
74.509,0.436,34.253
73.864,0.436,34.253
73.219,0.436,34.253
72.574,0.436,34.253
71.93,0.436,34.253
71.285,0.436,34.253
70.641,0.436,34.253
69.997,0.436,34.253
69.353,0.436,34.253
68.709,0.436,34.253
68.066,0.436,34.253
67.423,0.436,34.253
66.78,0.436,34.253
66.138,0.436,34.253
65.497,0.436,34.253
64.856,0.436,34.253
64.215,0.436,34.253
63.575,0.436,34.253
62.935,0.436,34.253
62.296,0.436,34.253
61.656,0.436,34.253
61.017,0.436,34.253
60.378,0.436,34.253
59.739,0.436,34.253
59.1,0.436,34.253
58.461,0.436,34.253
57.823,0.436,34.253
57.186,0.436,34.253
56.549,0.436,34.253
55.913,0.436,34.253
55.277,0.436,34.253
54.641,0.436,34.253
54.007,0.436,34.253
53.372,0.436,34.253
52.738,0.436,34.253
52.104,0.436,34.253
51.471,0.436,34.253
50.839,0.436,34.253
50.207,0.436,34.253
49.575,0.436,34.253
48.944,0.436,34.253
48.313,0.436,34.253
47.683,0.436,34.253
47.052,0.436,34.253
46.422,0.436,34.253
45.792,0.436,34.253
45.162,0.436,34.253
44.533,0.436,34.253
43.903,0.436,34.253
43.274,0.436,34.253
42.644,0.436,34.253
42.015,0.436,34.253
41.386,0.436,34.253
40.756,0.436,34.253
40.127,0.436,34.253
39.499,0.436,34.253
38.871,0.436,34.253
38.243,0.436,34.253
37.617,0.436,34.253
36.991,0.436,34.253
36.365,0.436,34.253
35.739,0.436,34.253
35.113,0.436,34.253
34.487,0.436,34.253
33.86,0.436,34.253
33.233,0.436,34.253
32.607,0.436,34.253
31.981,0.436,34.253
31.355,0.436,34.253
30.731,0.436,34.253
30.108,0.436,34.253
29.486,0.436,34.253
28.866,0.436,34.253
28.247,0.436,34.253
27.629,0.436,34.253
27.012,0.436,34.253
26.395,0.436,34.253
25.779,0.436,34.253
25.163,0.436,34.253
24.548,0.436,34.253
23.932,0.436,34.253
23.317,0.436,34.253
22.702,0.436,34.253
22.087,0.436,34.253
21.472,0.436,34.253
20.857,0.436,34.253
20.242,0.436,34.253
19.626,0.436,34.253
19.01,0.436,34.253
18.393,0.436,34.253
17.776,0.436,34.253
17.158,0.436,34.253
16.539,0.436,34.253
15.921,0.436,34.253
15.301,0.436,34.253
14.682,0.436,34.253
14.063,0.436,34.253
13.444,0.436,34.253
12.825,0.436,34.253
12.206,0.436,34.253
11.588,0.436,34.253
10.97,0.436,34.253
10.353,0.436,34.253
9.736,0.436,34.253
9.119,0.436,34.253
8.502,0.436,34.253
7.886,0.436,34.253
7.268,0.436,34.253
6.651,0.436,34.253
6.032,0.436,34.253
5.413,0.436,34.253
4.792,0.436,34.253
4.171,0.436,34.253
3.549,0.436,34.253
2.926,0.436,34.253
2.303,0.436,34.253
1.68,0.436,34.253
1.055,0.436,34.253
0.431,0.436,34.253
# Event GROUND_HIT occurred at t=28.77 seconds
# Event SIMULATION_END occurred at t=28.77 seconds
-0.195,0.436,34.253
